Average_Price,Destination,Source,Weekend_Date
184.0,DCA,BOS,2017-26
198.0,DCA,BOS,2017-27
164.0,DCA,BOS,2017-28
172.0,DCA,BOS,2017-29
163.0,DCA,BOS,2017-30
172.0,DCA,BOS,2017-31
163.0,DCA,BOS,2017-32
173.0,DCA,BOS,2017-33
163.0,DCA,BOS,2017-34
764.0,MDT,BOS,2017-16
482.0,MDT,BOS,2017-17
0.0,MDT,BOS,2017-18
0.0,MDT,BOS,2017-19
502.0,MDT,BOS,2017-20
0.0,MDT,BOS,2017-21
0.0,MDT,BOS,2017-22
421.0,MDT,BOS,2017-23
0.0,MDT,BOS,2017-24
0.0,MDT,BOS,2017-25
0.0,MDT,BOS,2017-26
0.0,MDT,BOS,2017-27
0.0,MDT,BOS,2017-28
0.0,MDT,BOS,2017-29
0.0,MDT,BOS,2017-30
0.0,MDT,BOS,2017-31
0.0,MDT,BOS,2017-32
0.0,MDT,BOS,2017-33
0.0,MDT,BOS,2017-34
344.0,BUF,BOS,2017-16
289.0,BUF,BOS,2017-17
118.0,BUF,BOS,2017-18
117.0,BUF,BOS,2017-19
237.0,BUF,BOS,2017-20
291.0,BUF,BOS,2017-21
203.0,BUF,BOS,2017-22
203.0,BUF,BOS,2017-23
203.0,BUF,BOS,2017-24
213.0,BUF,BOS,2017-25
243.0,BUF,BOS,2017-26
203.0,BUF,BOS,2017-27
475.0,BUF,BOS,2017-28
230.5,BUF,BOS,2017-29
214.0,BUF,BOS,2017-30
204.0,BUF,BOS,2017-31
0.0,BUF,BOS,2017-32
0.0,BUF,BOS,2017-33
392.0,BUF,BOS,2017-34
671.5,IAH,BOS,2017-16
381.0,IAH,BOS,2017-17
270.0,IAH,BOS,2017-18
305.0,IAH,BOS,2017-19
255.0,IAH,BOS,2017-20
385.0,IAH,BOS,2017-21
272.0,IAH,BOS,2017-22
255.0,IAH,BOS,2017-23
249.0,IAH,BOS,2017-24
254.0,IAH,BOS,2017-25
451.0,IAH,BOS,2017-26
272.0,IAH,BOS,2017-27
315.0,IAH,BOS,2017-28
0.0,IAH,BOS,2017-29
408.0,IAH,BOS,2017-30
401.5,IAH,BOS,2017-31
417.0,IAH,BOS,2017-32
0.0,IAH,BOS,2017-33
0.0,IAH,BOS,2017-34
0.0,CLE,BOS,2017-16
227.0,CLE,BOS,2017-17
127.0,CLE,BOS,2017-18
171.0,CLE,BOS,2017-19
236.0,CLE,BOS,2017-20
131.0,CLE,BOS,2017-21
156.0,CLE,BOS,2017-22
178.0,CLE,BOS,2017-23
348.5,CLE,BOS,2017-24
201.0,CLE,BOS,2017-25
0.0,CLE,BOS,2017-26
0.0,CLE,BOS,2017-27
201.0,CLE,BOS,2017-28
202.0,CLE,BOS,2017-29
201.0,CLE,BOS,2017-30
201.0,CLE,BOS,2017-31
0.0,CLE,BOS,2017-32
0.0,CLE,BOS,2017-33
0.0,CLE,BOS,2017-34
495.0,IAD,BOS,2017-16
278.0,IAD,BOS,2017-17
230.5,IAD,BOS,2017-18
170.0,IAD,BOS,2017-19
208.0,IAD,BOS,2017-20
196.0,IAD,BOS,2017-21
158.0,IAD,BOS,2017-22
158.0,IAD,BOS,2017-23
211.5,IAD,BOS,2017-24
211.0,IAD,BOS,2017-25
158.0,IAD,BOS,2017-26
167.0,IAD,BOS,2017-27
178.0,IAD,BOS,2017-28
167.0,IAD,BOS,2017-29
211.0,IAD,BOS,2017-30
167.0,IAD,BOS,2017-31
185.0,IAD,BOS,2017-32
158.0,IAD,BOS,2017-33
176.0,IAD,BOS,2017-34
437.0,EWR,BOS,2017-16
259.0,EWR,BOS,2017-17
133.0,EWR,BOS,2017-18
123.0,EWR,BOS,2017-19
